FixtureId,WTEvent,StartTime,EndTime,Broadcaster,Server,Decoder,DataSource,Sport,Competition,Country,Home,Away,Status
00512a37-04fa-44e6-8fb9-fa12c9376c7b, 10083736, 23/09/2026 14:30:00, 23/09/2026 17:00:00,Sportdigital Fussball HD [241],Euro28,GER-4,Stats Perform,Soccer, Asia - Gulf Cup of Nations - Male, Asia, Iraq, Oman,
90809d47-5d76-4af8-94c0-5601832a068b, 10087641, 23/09/2026 14:40:00, 23/09/2026 17:10:00,Stadium Feed,Euro120,FIF_CH08,Stats Perform,Soccer, United Arab Emirates - Presidents Cup - Male, United Arab Emirates, Al Jazira Al Hamra, Forte Virtus,
5b993da0-f21b-4908-b1c7-464a8e42863e, 10087640, 23/09/2026 14:40:00, 23/09/2026 17:10:00,Stadium Feed,Euro121,FIF_CH09,Stats Perform,Soccer, United Arab Emirates - Presidents Cup - Male, United Arab Emirates, Al Arabi, Emirates,
341ffeda-340c-4724-aaf7-1f1e10a4a70b, 10087965, 23/09/2026 14:40:00, 23/09/2026 17:10:00,Stadium Feed,Euro1,Not Set,Stats Perform,Soccer, United Arab Emirates - Presidents Cup - Male, United Arab Emirates, Gulf United, Fujairah,
0976b9c2-b97e-4839-ad76-3ec07cb491fd, 10087639, 23/09/2026 14:40:00, 23/09/2026 17:10:00,Stadium Feed,Euro119,FIF_CH07,Stats Perform,Soccer, United Arab Emirates - Presidents Cup - Male, United Arab Emirates, Al Bataeh, Palm City 365,
, 10086450, 23/09/2026 15:00:00, 23/09/2026 21:00:00,TVP Sport [183],Euro15,EPOL,Legacy,Boxing, Europe Championship, Europe, , ,
fd9a57ea-189d-4ad4-8eb3-159870b0738b, 10081023, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Stadium Feed,Euro134,XVI_CH06,Stats Perform,Ice Hockey, Europe - Baltic Championship - Male, Europe, Liepaja, Kyiv Capitals,
c6ad95cb-18ca-42ae-82d4-8346dfd59b57, 10084102, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Stadium Feed,Euro136,XVI_CH08,Stats Perform,Ice Hockey, Slovakia - 1. Liga - Male, Slovakia, Skalica, Humenne,
a344c311-0402-4eb7-918c-0493250e4123, 10076277, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Infront,Euro203,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, Finland - Finnish Liiga - Mixed, Finland, HIFK, Karpat,
a20f3795-e80f-4254-ad87-13246fde4192, 10084096, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Stadium Feed,Euro135,XVI_CH07,Stats Perform,Ice Hockey, Slovakia - 1. Liga - Male, Slovakia, Gladiators Trnava, HK Detva,
71c3ec0c-3604-4652-a843-ea3d6b206b57, 10076276, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Infront,Euro202,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, Finland - Finnish Liiga - Mixed, Finland, Sport, K-Espoo,
71acbd9b-ce8e-48e0-9e88-6f9d537c17d2, 10076275, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Infront,Euro201,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, Finland - Finnish Liiga - Mixed, Finland, SaiPa, Assat,
6aff1d5b-7fe5-4b0e-a538-11ebdb33ede4, 10076279, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Infront,Euro205,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, Finland - Finnish Mestis - Mixed, Finland, IPK, Hermes,
0ae79bd3-d5f3-40dc-a7fa-893f92f81b97, 10076278, 23/09/2026 15:30:00, 23/09/2026 18:30:00,Infront,Euro204,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, Finland - Finnish Liiga - Mixed, Finland, KooKoo, KalPa,
